,Judul,Isi
0,Sejarah Hari Oeang Republik Indonesia,"KOMPAS.com - Setiap tanggal 30 Oktober diperingati sebagai Hari Oeang Republik Indonesia (ORI).Sejarah Hari ORIMelansir dari situs resmi Kementerian Keuangan RI, dipilihnya tanggal 30 Oktober karena bertepatan dengan tanggal awal mula berlakunya uang sebagai alat pembayaran yang sah di Indonesia.Tepatnya pada tanggal 30 Oktober 1946 pukul 00.00 berdasarkan Keputusan Menteri Keuangan tanggal 29 Oktober 1946.Melalui Keputusan Nomor SS/1/35 tersebut, Menteri keuangan menyatakan bahwa uang Jepang dan uang Javasche Bank dinyatakan tidak berlaku, dan sebagai gantinya uang Republik Indonesia ditetapkan sebagai alat pembayaran yang sah.Terbitnya surat keputusan itu karena Rakyat Indonesia merasa Indonesia yang sudah merdeka masih menggunakan mata uang peninggalan penjajah sebagai alat pembayaran, yaitu mata uang Jepang dan mata uang De Javasche Bank.Penggunaan kedua mata uang tersebut dirasa tidak sejalan dengan hakekat dari kemerdekaan, karena bangsa yang merdeka adalah bangsa yang bisa memiliki mata uang sendiri. Oleh sebab itu diterbitkanlah ORI. Munculnya ORI di IndonesiaMelansir dari situs Kementerian Keuangan, lembaran ORI pertama tertulis emisi bertanggal 17 Oktober 1945. Hal ini karena menunjukkan banyaknya kendala dalam dalam proses pembuatan, pencetakan, dan peredaran ORI.Pada saat pertama kali diterbitkan, ORI tidak dapat langsung didistribusikan ke seluruh wilayah Indonesia akibat adanya ancaman dari pihak Belanda atas peredaran ORI.Nyatanya meski sudah merdeka namun pihak Belanda mencoba untuk kembali berkuasa.Hal itu ditandai dengan Netherlands Indies Civil Administration atau Pemerintahan Sipil Hindia Belanda (NICA) yang mengeluarkan mata uang NICA pada tanggal 6 Maret 1946 sebagai tandingan ORI.Tujuan ORI diterbitkan untuk menggantikan mata uang yang sebelumnya diterbitkan oleh Pemerintah Belanda dan JepangSelain dicetak di Jakarta, ORI juga sempat dicetak di Yogyakarta ketika terjadi perpindahan sementara Ibukota Republik Indonesia dari Jakarta ke Yogjakarta pada tahun 1946 -1948.Oleh karena itu, pada ORI nominal Rp 25,- tahun 1947 tertulis kota Djokjakarta yang mengacu pada kota tempat pencetakan uang dan tanggal penerbitan uang.Munculnya ORIDA di DaerahMeski ORI sudah ada namun penyebarannya belum sampai ke daerah-daerah. Hingga kemudian Pemerintah Daerah berinisiatif meminta izin kepada Pemerintah Pusat untuk menerbitkan mata uang sendiri yang berlaku terbatas di daerah tersebut.Uang tersebut dinamakan Oeang Republik Indonesia Daerah (ORIDA). Keberadaan ORIDA pada dasarnya bersifat sementara. "
1,Sejarah Hari Cinta Puspa dan Satwa Nasional,"KOMPAS.com - Setiap tanggal 5 November diperingati Hari Cinta Puspa dan Satwa Nasional. Lantas apa itu Hari Cinta Puspa dan Satwa Nasional dan bagaimana sejarahnya?SejarahMelansir dari situs Kementerian Lingkungan Hidup RI, Hari Cinta Puspa dan Satwa Nasional (HCPSN) diperingati pada 5 November sesuai dengan Keppres Nomor 4 Tahun 1993 yang ditandatangani oleh Presiden Soeharto.Hari Cinta Puspa dan Satwa Nasional diadakan agar masyarakat dapat meningkatkan kepedulian, perlindungan, dan pelestarian puspa dan satwa yang ada di Indonesia. Ada banyak bunga dan satwa nasional yang perlu dilindungi. Peraturan Pemerintah No 7 Tahun 1999 Tentang Pengawetan Jenis Tumbuhan dan Satwa menyebutkan bahwa tumbuhan dan satwa adalah bagian dari sumber daya alam yang tidak ternilai harganya sehingga kelestariannya perlu dijaga. Salah satunya melalui upaya pengawetan jenis.Sementara itu ada 919 jenis tumbuhan dan satwa langka yang dilindungi oleh Indonesia. Semua daftarnya ada di Peraturan Pemerintah No 92 Tahun 2018 tentang Jenis Tumbuhan dan Satwa Yang Dilindungi.Jenis Puspa dan Satwa NasionalIndonesia memiliki sejumlah puspa dan satwa yang dilindungi. Mengacu pada Kepres tersebut, ada tiga jenis satwa yang masing-masing mewakili satwa darat, air, dan udara yang dinyatakan sebagai Satwa Nasional yaitu:Komodo (Varanus komodoensis), sebagai satwa nasional;Ikan Siluk Merah (Sclerophages formosus), sebagai satwa pesona; danElang Jawa (Spizaetus bartelsi), sebagai satwa langka.Sementara itu ada tiga jenis bunga dinyatakan sebagai bunga Nasional yaitu sebagai berikut:Melati (Jasminum sambac), sebagai puspa bangsa;Anggrek bulan (Palaenopsis amabilis), sebagai puspa pesona; danPadma Raksasa (Rafflesia arnoldi), sebagai puspa langka;Baca juga: Satwa Langka Bukan Barang EkonomiTujuan Hari Cinta Puspa dan Satwa Nasionalmewujudkan kepedulian dan rasa cinta terhadap satwa dan bunga pada umumnya, serta Satwa dan Bunga Nasional pada khususnya, di seluruh lapisan masyarakat;meningkatkan perlindungan serta upaya pelestarian ekosistem, habitat, populasi ataupun kegiatan penelitian dan pengembangan Satwa dan Bunga Nasional tersebut. Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
2,Tanggal 4 November Memperingati Hari Apa?,"KOMPAS.com – Tanggal 4 November 2023 jatuh pada hari Jumat. Tanggal ini diperingati sebagai Hari Kerohanian.Selain itu, terdapat pula peringatan dan perayaan lain pada hari ini. Berikut beberapa peringatan yang jatuh pada 4 November 2023.Hari Persatuan RusiaSetiap tanggal 4 November diperingati Hari Persatuan Rusia.Melansir National Today, asal usul Hari Persatuan Rusia berawal dari ‘Smuta’, sebuah periode yang penuh gejolak dalam sejarah ketika kerusuhan politik mencapai puncaknya di Rusia.Rusia kala itu berperang dengan Polandia dan Swedia. Efeknya, Polandia mengambil keuntungan dari kerusuhan sipil dan menginvasi Rusia. Mereka menduduki Moskow selama dua tahun hingga tahun 1612 ketika terjadi pemberontakan bersejarah.Namun rakyat Moskow tidak tinggal diam. Perlawanan dilakuka dengan dipimpin oleh Kuzma Minin, seorang pedagang dari Nizhny Novgorod, dan Dmitry Pozharsky, seorang pangeran yang dihormati dan berpangkat tinggi.Pada tahun 2005, Presiden Vladimir Putin memperkenalkan kembali Hari Persatuan Rusia dan menghapus tanggal 7 November dari daftar hari libur resmi Rusia. Hari Bison NasionalSetiap tanggal 4 November terdapat Hari Bison Nasional di Amerika Serikat.Pada Hari Bison Nasional, terdapat acara tahunan yang jatuh pada hari Sabtu pertama bulan November.Pada hari ini, seluruh warga Amerika harus merenungkan dampak bison sebagai bagian dari warisan lingkungan dan budaya mereka.Bison sangat dihormati oleh penduduk asli karena penting bagi kelangsungan hidup mereka baik sebagai makanan maupun inspirasi spiritual.Bison adalah hewan mamalia bertanduk yang bentuknya mirip kerbau. Sayangnya saat ini hanya tersisa Spesies bison Amerika (Bison bison) dan bison Eropa (Bison bonasus).Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
3,Jadwal SIM Keliling di Bekasi Bulan November 2023,"KOMPAS.com - Layanan perpanjangan Surat Izin Mengemudi (SIM) lebih praktis lewat SIM Keliling dibandingkan datang ke polres.Lokasi layanan SIM keliling berpindah-pindah sehingga harus mengetahui jadwal dan lokasi pastinya. Layanan SIM keliling ini biasanya diadakan di dalam mobil yang bertuliskan SIM keliling.Untuk tanggal merah atau libur nasional layanan SIM keliling tidak beroperasi. Sementara itu melansir dari keterang di instagram resmi Polres Metro Bekasi, untuk kesehataan & psikologi disediakan ditempat.Adapun biaya perpanjangan SIM sesuai dengan PP Nomor 60 Tahun 2016 tentang Penerimaan Negara Bukan Pajak adalah sebesar Rp 80.000 untuk perpanjangan SIM A dan Rp 75.000 untuk perpanjangan SIM C.Berikut ini informasi mengenai lokasi SIM keliling di Bekasi bulan November 2023:Lokasi SIM KelilingMitra 10 Harapan IndahLokasi: Jalan Harapan Indah Boulevard, Kecamatan Medan Satria,Jadwal: Setiap Senin pukul 08.00-10.00 WIBPolsek Bantar GebangLokasi: Jalan Siliwangi No.Km.10, BantargebangJadwal: Setiap Selasa pukul 08.00-10.00 WIBMetropolitan Mall BekasiLokasi: Jalan K.H Noer Ali, Pekayon Jaya, Bekasi Jadwal: Setiap Rabu pukul 08.00-10.00 WIBBekasi Cyber ParkLokasi: Jalan KH Noer AliJadwal: Setiap Kamis pukul 08.00-10.00 WIBMitra10 JatimakmurLokasi: Jalan Raya Jati Makmur Nomor 115, Jatimakmur,Jadwal: Setiap Jumat pukul 08.00-10.00 WIBKantor Kecamatan Bekasi BaratLokasi: Jalan Bintara Nomor 4, BintaraJadwal: Setiap Sabtu pukul 08.00-10.00 WIBPersyaratan yang perlu dibawaFotokopi KTPSIM asliTes Psikologi SIMSurat Keterangan SehatDapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
4,"Jokowi ""Groundbreaking"" Nusantara Intercultural School, Sekolah Internasional Pertama di IKN","JAKARTA, KOMPAS.com - Presiden Joko Widodo (Jokowi) melakukan peletakan batu pertama (groundbreaking) pembangunan Nusantara Intercultural School (NIS) di kawasan Ibu Kota Negara (IKN) Nusantara, Kalimantan Timur, Rabu (1/11/2023).NIS merupakan bagian dari Jakarta Intercultural School (JIS) dan akan menjadi sekolah bertaraf internasional pertama di IKN.""Kehadiran NIS di IKN menunjukkan keseriusan komitmen kita untuk menyediakan berbagai fasilitas pendukung ibu kota, termasuk menghadirkan lembaga pendidikan bertaraf internasional dan berkualitas dunia,"" ujar Jokowi dilansir siaran pers Sekretariat Presiden, Rabu.Mantan Gubernur DKI Jakarta ini berharap NIS nantinya dapat menyelenggarakan pendidikan berkelas dunia bagi anak-anak di IKN.Baca juga: Undang Khusus Ridwan Kamil ke IKN, Jokowi: Untuk Koreksi Terkait ArsitekturSelain itu, NIS diharapkan mampu menjadi salah satu pilihan sekolah dengan pendidikan yang bermutu di IKN.""Mempromosikan pendidikan global berkelas tinggi di Nusantara, dan memberikan pilihan pendidikan yang bermutu bagi warga IKN yang berasal dari berbagai daerah, berbagai negara, dan berbagai latar belakang,"" kata Jokowi.Pada kesempatan tersebut, Kepala Negara juga menceritakan sejumlah keresahan orang tua terkait pendidikan anak di Kota Nusantara.Untuk itu, Jokowi mengapresiasi komitmen JIS untuk menjawab keresahan para orang tua dengan membangun NIS.Baca juga: IKN Segera Punya Sekolah Bertaraf Internasional PertamaDiketahui, Presiden Jokowi juga melakukan groundbreaking proyek revitalisasi Sekolah Dasar Negeri 020 Sepaku, Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur pada hari Rabu ini.Dalam sambutannya, Presiden mengungkapkan rasa senang atas revitalisasi sekolah karena diyakini dapat meningkatkan kualitas pendidikan di sana.Apalagi, menurut Jokowi, revitalisasi tersebut nantinya juga didukung dengan sarana dan prasarana yang lengkap.""Ada ruang kelas, ada laboratorium IPA dan TIK, ada perpustakaan, ada kelas amphitheater, ada kantin, ada tempat baca, ada lapangan multifungsi, ada area hijau, ada konservasi embung, dan fasilitas pendukung lainnya,"" kata Jokowi.Baca juga: Minta Investasi Luar Negeri di IKN Direm Dulu, Jokowi: Dahulukan Investor Dalam NegeriLebih lanjut, Presiden menuturkan bahwa peningkatan kualitas pendidikan di sekitar kawasan IKN tidak hanya dilakukan di SDN 020 Sepaku.Ia menegaskan bahwa peningkatan kualitas tersebut juga akan dilakukan pada lima sekolah dasar lainnya.""Sehingga, nanti anak-anak kita semuanya bisa memiliki kualitas pendidikan yang baik dengan sarana-prasarana yang kualitasnya juga baik,"" ujar Jokowi.Baca juga: Jokowi Resmikan Pembangunan RS Hermina di IKN, Investasi Capai Rp 650 MiliarDapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
5,Kemenag Sudah Susun Data Jemaah Calon Haji Berangkat 2024,"JAKARTA, KOMPAS.com - Nama-nama jemaah calon haji yang akan berangkat pada 1445 hijriah atau pada 2024 sudah disusun Direktorat Jenderal Penyelenggaraan Haji dan Umrah Kementerian Agama.Dirjen Penyelenggaraan Haji dan Umrah Kemenag Hilman Latief berharap, mereka yang masuk dalam daftar untuk mempersiapkan diri.""Jika termasuk yang akan berangkat 2024, jemaah diimbau untuk mulai menjaga kesehatan. Jaga kesehatan dari aspek mendasar, mulai dari menjaga makanan dan olahraga,"" ujar Dirjen Penyelenggaraan Haji dan Umrah (PHU) Kemenag Hilman Latief di Jakarta, Rabu (1/11/2023), dikutip dari Antara.Baca juga: Jokowi Umumkan Indonesia Dapat 20.000 Kuota Haji Tambahan untuk 2024Hilman mengatakan, data jemaah yang akan berangkat itu akan disampaikan ke Kantor Wilayah (Kanwil) Kemenag provinsi agar menjadi panduan.Jemaah juga sudah bisa melihat perkiraan keberangkatannya melalui Sistem Komputerisasi Haji Terpadu (Siskohat).Jemaah calon haji yang masuk dalam daftar berangkat melakukan tes pemeriksaan kesehatan.Adapun untuk biaya dan lokasi masih akan didiskusikan dengan Kementerian Kesehatan (Kemenkes) dan BPJS Kesehatan.Tes kesehatan ini menjadi salah satu syarat pelunasan Biaya Perjalanan Ibadah Haji (Bipih).Pasalnya Kemenag akan menerapkan syarat istithaah kesehatan yakni jemaah yang benar-benar sehat secara fisik dan mental yang diutamakan berangkat.Baca juga: Diminta Jokowi, Arab Saudi Kabulkan Penambahan Kuota Haji Indonesia 20.000 Jemaah""Kami juga akan segera sampaikan ke publik, di mana saja dan berapa biaya yang dikeluarkan jemaah saat pemeriksaan kesehatan. Kami akan sampaikan ke publik bahwa pemeriksaan sudah bisa dilakukan,"" kata Hilman.Sementara itu Direktur Bina Haji Kemenag Arsad Hidayat mengatakan istithaah kesehatan akan menjadi perhatian bersama, pemerintah, jemaah, dan juga masyarakat.Kemenag dan Kemenkes secara berjenjang akan memberikan edukasi dan sosialisasi tentang istithaah kesehatan haji kepada calon peserta haji melalui penyuluhan kesehatan serta bimbingan manasik haji dan melibatkan peran serta masyarakat/KBIHU (Kelompok Bimbingan Ibadah Haji dan Umrah) dan ormas Islam.Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
6,"Prabowo-Gibran Tak Janjikan Penyelesaian Kasus HAM Masa Lalu, Aktivis HAM Singgung soal Rekam Jejak","JAKARTA, KOMPAS.com - Aktivis Hak Asasi Manusia (HAM) Usman Hamid menyinggung soal rekam jejak para bakal calon presiden dan calon wakil presiden (capres-cawapres), khususnya Prabowo Subianto dan Gibran Rakabuming Raka yang tak mencantumkan program penyelesaian kasus hak asasi manusia (HAM) masa lalu.Usman Hamid mengatakan, penting untuk melihat kiprah para bakal capres-cawapres selama menjadi pejabat dan politikus.""Adakah dari mereka yang selama ini terlihat gigih memperjuangkan penyelesaian kasus-kasus HAM berat masa lalu atau malah berdiam diri atas terjadinya pelanggaran HAM atau malah justru terlibat dalam pelanggaran-pelanggaran HAM berat masa lalu?"" ujar Usman melalui pesan singkat, Rabu (1/11/2023).Menurutnya, rekam jejak tersebut penting ditelaah karena kasus pelanggaran HAM khususnya pelanggaran HAM berat masa lalu harus dituntaskan.Baca juga: Hanya Prabowo-Gibran yang Tak Janjikan Penyelesaian Pelanggaran HAM Masa LaluSekretaris Tim Pencari Fakta (TPF) kasus pembunuhan Munir ini mengatakan, penuntasan kasus HAM harus dilakukan secara hukum untuk memberikan keadilan bagi para korban yang kehilangan haknya di masa lalu.""Hal itu juga penting karena menyangkut moralitas kolektif masyarakat bangsa di masa depan. Bangsa ini memerlukan masa depan baru, dalam arti berpijak pada sejarah pelanggaran HAM masa lalu yang jujur mengakui sisi kelamnya. Hal ini pula yang bisa mencegah pelanggaran HAM berat terulang di masa depan,"" kata Usman Hamid.Direktur Eksekutif Amnesty Internasional Indonesia ini juga menyebut bahwa kasus pelanggaran HAM sangat mungkin terjadi berulang.""Maka ini yang harus dituntut oleh para capres dan cawapres, apa komitmen-komitmen spesifik mereka untuk menjamin agar pelanggaran HAM masa lalu tidak terulang di masa depan. Itu yang menjadi kunci,"" ujar Usman.Baca juga: Visi Misi 3 Pasangan Bacapres-Bacawapres Terkait Penegakan HAMSebagai informasi, hanya pasangan bakal capres-cawapres Prabowo Subianto dan Gibran Rakabuming Raka yang tidak mencantumkan program penyelesaian kasus HAM dalam visi-misinya.Dalam misi terkait HAM, Prabowo-Gibran hanya menjanjikan perlindungan HAM untuk warga negara dan menghapus praktik diskriminasi.Keduanya juga membuat program kebijakan inklusif, menjamin pemenuhan hak dasar masyarakat dan kelompok rentan hingga perlindungan untuk tenaga kerja.Sedangkan pasangan calon lainnya, Ganjar Pranowo dan Mahfud MD, berkomitmen menyelesaikan pelanggaran HAM masa lalu secara adil. Terutama, terhadap pelanggaran HAM yang jadi beban peradaban bangsa.Pasangan calon dari Koalisi Perubahan untuk Persatuan (KPP) Anies Baswedan dan Muhaimin Iskandar (Cak Imin) juga berkomitmen menuntaskan kasus pelanggaran HAM dalam visi misinya.Tidak hanya itu, Anies-Cak Imin ini juga mendorong pemulihan sosial ekonomi korban pelanggaran HAM dan menguatkan lembaga HAM Nasional.Baca juga: Anies-Cak Imim Janji Tuntaskan Kasus Pelanggaran HAMDapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
7,Gerindra Sebut Putusan MK soal Usia Capres-Cawapres Tak Terkait Kepentingan Keluarga,"JAKARTA, KOMPAS.com - Partai Gerindra mempertanyakan alasan digunakan buat mempersoalkan putusan Mahkamah Konstitusi (MK) terkait syarat batas usia capres-cawapres karena dianggap sarat konflik kepentingan.“Putusan Mahkamah Konstitusi ini enggak ada konflik kepentingan, kepentingan keluarga atau kepentingan nasional, karena dengan bisa majunya anak muda tidak menghalangi pihak manapun untuk maju juga,"" kata Wakil Ketua Umum Partai Gerindra Habiburokhman seperti dikutip dari program Sapa Indonesia Pagi di Kompas TV, Rabu (1/11/2023).""Apakah ada pihak yang takut dengan majunya anak muda, sedemikian takutnya sehingga kalau anak muda maju bisa dianggap mengganggu kepentingan nasional. Logikanya dari mana?"" ujar Habiburokhman.Habiburokhman menilai wajar terjadi perbedaan pandangan dalam memaknai setiap putusan MK. Akan tetapi, kata dia, Gerindra tetap menghormati seluruh pendapat.Baca juga: Wacanakan Hak Angket terhadap MK, Masinton: Konstitusi Kita Sedang Diinjak-injak!Dia berharap pihak-pihak yang merasa kepentingan politiknya terusik akibat putusan MK itu sebaiknya tidak melanjutkan narasi delegitimasi karena justru bisa memperkeruh masalah.""Sehingga enggak akan putus kalau kita terus memperdebatkan sesuatu yang sudah final, sudah mengikat,"" ucap Habiburokhman.Menurut Habiburokhman, jika seluruh kalangan tidak menaati putusan lembaga yudikatif karena dianggap bertentangan dengan kepentingan politik, maka hal itu sama saja tidak taat terhadap prinsip demokrasi.""Ini bentuk konsistensi kita, komitmen kita pada demokrasi. Demokrasi itu adalah bagaimana kita menaati hukum. Bahwa kita selain negara demokrasi adalah negara hukum,"" ucap Habiburokhman.Baca juga: Politisi PDI-P Masinton Akan Kumpulkan Dukungan Dewan untuk Usul Hak Angket MKSedangkan Gibran berhasil menduduki posisi Wali Kota Solo atas dukungan Partai Demokrasi Indonesia Perjuangan (PDI-P).Sebelumnya diberitakan, Anggota Komisi XI DPR Fraksi PDI-P Masinton Pasaribu mengatakan dirinya akan menggulirkan wacana hak angket terhadap Mahkamah Konstitusi (MK) terkait putusan MK mengenai batas usia capres-cawapres.Hal tersebut Masinton sampaikan ketika sedang melakukan interupsi di Rapat Paripurna DPR, Selasa (31/10/2023).Masinton menjelaskan, konstitusi harus tegak dan tidak boleh dipermainkan atas nama pragmatis politik sempit.Dia mengklaim dirinya menyuarakan hal tersebut bukan demi kepentingan PDI-P ataupun capres manapun.Baca juga: Gerindra: Putusan MK Tak Bisa Jadi Obyek Hak Angket DPR Masinton mengatakan putusan MK itu merupakan ancaman terhadap konstitusi.Apalagi, kata dia, Reformasi 1998 jelas memandatkan Indonesia harus bebas dari korupsi, kolusi, dan nepotisme (KKN). "
8,"Jokowi Resmikan Pembangunan RS Hermina di IKN, Investasi Capai Rp 650 Miliar","JAKARTA, KOMPAS.com - Presiden Joko Widodo melakukan peletakan batu pertama atau groundbreaking Rumah Sakit (RS) Hermina Nusantara di kawasan Ibu Kota Nusantara (IKN), Kalimantan Timur, pada Rabu (1/11/2023).Presiden yakin kehadiran RS tersebut akan meningkatkan kepercayaan masyarakat dan investor untuk tinggal dan berinvestasi di IKN.""Groundbreaking rumah sakit ini akan makin menguatkan kepercayaan masyarakat dan investor agar tidak ragu-ragu lagi untuk tinggal di IKN, tidak ragu-ragu berinvestasi dan mengembangkan usahanya di IKN Nusantara,"" ujar Jokowi dilansir siaran pers Sekretariat Presiden, Rabu.Baca juga: Groundbreaking Sekolah Internasional Pertama di IKN, Jokowi: Yang Mau Pindah, Jangan Ragu-ragu LagiMenurut Jokowi, ketersediaan fasilitas kesehatan yang baik merupakan hal pertama yang selalu ditanyakan masyarakat yang ingin menjadi warga IKN.Oleh karenanya, kehadiran berbagai RS bertaraf internasional di kawasan IKN diharapkan dapat menjawab kekhawatiran masyarakat tersebut.Lebih lanjut, mantan Gubernur DKI itu menuturkan bahwa investasi yang dikucurkan untuk pembangunan RS Hermina Nusantara mencapai Rp 650 miliar.Kepala Negara pun berharap pembangunan RS tersebut dapat segera selesai sehingga masyarakat IKN dan sekitarnya bisa mendapatkan pelayanan kesehatan yang unggul.Jokowi menjelaskan, dengan adanya RS Hermina Nusantara ini masyarakat di IKN dan sekitarnya bisa mendapatkan pelayanan kesehatan yang unggul seperti pelayanan gawat darurat, trauma center dan ortopedi, pelayanan ibu dan anak, perinatologi, tumbuh kembang anak, dan neurologi.Baca juga: Undang Khusus Ridwan Kamil ke IKN, Jokowi: Untuk Koreksi Terkait Arsitektur""Tadi juga disampaikan oleh dr. Hasmoro (Presiden Direktur RS Hermina) bahwa ini tidak hanya melayani pasien VVIP tetapi juga pasien BPJS dan non-BPJS, ini sangat bagus,"" ungkap Jokowi.Adapun RS Hermina merupakan fasilitas kesehatan ketiga yang rencananya dibangun di IKN.Sebelumnya, Presiden Jokowi sudah melakukan groundbreaking pembangunan RS Mayapada dan RS Abdi Waluyo di kawasan tersebut. Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel. "
9,Gerindra Nilai Hak Angket MK Bentuk Pembangkangan Putusan Yudikatif,"JAKARTA, KOMPAS.com - Partai Gerindra menilai wacana mengajukan hak angket terhadap putusan Mahkamah Konstitusi terkait syarat batas usia capres-cawapres merupakan bentuk pembangkangan terhadap putusan lembaga yudikatif.""Bentuk pembangkangan terhadap putusan pengadilan, apalagi Mahkamah Konstitusi adalah produk Reformasi, itu adalah pembangkangan terhadap konstitusi dan demokrasi,"" kata Wakil Ketua Umum Partai Gerindra Habiburokhman seperti dikutip dari program Sapa Indonesia Pagi di Kompas TV, Rabu (1/11/2023).Habiburokhman menilai wajar terjadi perbedaan pandangan dalam memaknai setiap putusan MK. Akan tetapi, kata dia, Gerindra tetap menghormati seluruh pendapat.Dia berharap pihak-pihak yang merasa kepentingan politiknya terusik akibat putusan MK itu sebaiknya tidak melanjutkan narasi delegitimasi karena dianggap bisa memperkeruh masalah.Baca juga: Wacanakan Hak Angket terhadap MK, Masinton: Konstitusi Kita Sedang Diinjak-injak!""Sehingga enggak akan putus kalau kita terus memperdebatkan sesuatu yang sudah final, sudah mengikat,"" ucap Habiburokhman.Menurut Habiburokhman, jika seluruh kalangan tidak menaati putusan lembaga yudikatif karena dianggap bertentangan dengan kepentingan politik, maka hal itu sama saja tidak taat terhadap prinsip demokrasi.""Ini bentuk konsistensi kita, komitmen kita pada demokrasi. Demokrasi itu adalah bagaimana kita menaati hukum. Bahwa kita selain negara demokrasi adalah negara hukum,"" ucap Habiburokhman.Sedangkan Gibran berhasil menduduki posisi Wali Kota Solo atas dukungan Partai Demokrasi Indonesia Perjuangan (PDI-P).Baca juga: Politisi PDI-P Masinton Akan Kumpulkan Dukungan Dewan untuk Usul Hak Angket MKSebelumnya diberitakan, Anggota Komisi XI DPR Fraksi PDI-P Masinton Pasaribu mengatakan dirinya akan menggulirkan wacana hak angket terhadap Mahkamah Konstitusi (MK) terkait putusan MK mengenai batas usia capres-cawapres.Hal tersebut Masinton sampaikan ketika sedang melakukan interupsi di Rapat Paripurna DPR, Selasa (31/10/2023).Masinton menjelaskan, konstitusi harus tegak dan tidak boleh dipermainkan atas nama pragmatis politik sempit.Baca juga: Gerindra: Putusan MK Tak Bisa Jadi Obyek Hak Angket DPR Dia mengklaim dirinya menyuarakan hal tersebut bukan demi kepentingan PDI-P ataupun capres manapun.Masinton mengatakan putusan MK itu merupakan ancaman terhadap konstitusi.Apalagi, kata dia, Reformasi 1998 jelas memandatkan Indonesia harus bebas dari korupsi, kolusi, dan nepotisme (KKN).""Maka kita harus mengajak secara sadar dan kita harus sadarkan bahwa konstitusi kita sedang diinjak-injak. Kita harus menggunakan hak konstitusional yang dimiliki oleh lembaga DPE. Saya Masinton Pasaribu anggota DPR RI dari daerah pemilihan DKI Jakarta menggunakan hak konstitusi saya untuk melakukan hak angket,"" imbuhnya sembari berteriak karena mikroponnya dimatikan. "
